Departamento,Divorcios,Denuncias,Sexo_Hombre,Sexo_Mujer,0 a 4,5 a 9,10 a 14,15 a 19,20 a 24,25 a 29,30 a 34,35 a 39,40 a 44,45 a 49,50 a 54,55 a 59,60 a 64,65 y más,Ignorado_edad
República,"91,536","484,607","52,835","431,772",530,"1,015","3,359","39,506","87,672","90,822","79,107","59,870","40,395","25,711","16,870","10,963","7,898","14,401","6,488"
Guatemala,"35,192","90,889","9,909","80,980",99,190,630,"7,409","16,443","17,034","14,837","11,229","7,576","4,822","3,164","2,056","1,481","2,701","1,217"
El Progreso,"1,577","15,295","1,668","13,627",17,32,106,"1,247","2,767","2,866","2,497","1,890","1,275",811,532,346,249,455,205
Sacatepéquez,"1,968","22,713","2,476","20,237",25,48,157,"1,852","4,109","4,257","3,708","2,806","1,893","1,205",791,514,370,675,304
Chimaltenango,"1,801","26,664","2,907","23,757",29,56,185,"2,174","4,824","4,997","4,353","3,294","2,223","1,415",928,603,435,792,357
Escuintla,"4,131","15,404","1,679","13,725",17,32,107,"1,256","2,787","2,887","2,515","1,903","1,284",817,536,348,251,458,206
Santa Rosa,"2,420","16,674","1,818","14,856",18,35,116,"1,359","3,017","3,125","2,722","2,060","1,390",885,580,377,272,495,223
Sololá,952,"10,516","1,147","9,369",12,22,73,857,"1,902","1,971","1,717","1,299",877,558,366,238,171,313,141
Totonicapán,"1,572","8,146",888,"7,258",9,17,56,664,"1,474","1,527","1,330","1,006",679,432,284,184,133,242,109
Quetzaltenango,"6,743","25,981","2,833","23,148",28,54,180,"2,118","4,700","4,869","4,241","3,210","2,166","1,378",904,588,423,772,348
Suchitepéquez,"3,379","30,040","3,275","26,765",33,63,208,"2,449","5,435","5,630","4,904","3,711","2,504","1,594","1,046",680,490,893,402
Retalhuleu,"2,687","21,867","2,384","19,483",24,46,152,"1,783","3,956","4,098","3,570","2,702","1,823","1,160",761,495,356,650,293
San Marcos,"3,532","29,727","3,241","26,486",33,62,206,"2,423","5,378","5,571","4,853","3,673","2,478","1,577","1,035",672,484,883,398
Huehuetenango,"2,970","17,329","1,889","15,440",19,36,120,"1,413","3,135","3,248","2,829","2,141","1,444",919,603,392,282,515,232
Quiché,"2,402","14,036","1,530","12,506",15,29,97,"1,144","2,539","2,631","2,291","1,734","1,170",745,489,318,229,417,188
Baja Verapaz,"1,707","14,797","1,613","13,184",16,31,103,"1,206","2,677","2,773","2,415","1,828","1,233",785,515,335,241,440,198
Alta Verapaz,"2,393","50,724","5,530","45,194",55,106,352,"4,135","9,177","9,506","8,280","6,267","4,228","2,691","1,766","1,148",827,"1,507",679
Petén,"2,279","14,594","1,591","13,003",16,31,101,"1,190","2,640","2,735","2,382","1,803","1,217",774,508,330,238,434,195
Izabal,"3,098","11,125","1,213","9,912",12,23,77,907,"2,013","2,085","1,816","1,374",927,590,387,252,181,331,149
Zacapa,"2,449","11,169","1,218","9,951",12,23,77,911,"2,021","2,093","1,823","1,380",931,593,389,253,182,332,150
Chiquimula,"2,349","7,729",843,"6,886",8,16,54,630,"1,398","1,449","1,262",955,644,410,269,175,126,230,103
Jalapa,"2,105","10,671","1,163","9,508",12,22,74,870,"1,931","2,000","1,742","1,318",889,566,371,241,174,317,143
Jutiapa,"3,830","16,463","1,795","14,668",18,34,114,"1,342","2,978","3,085","2,687","2,034","1,372",873,573,372,268,489,220
Ignorado,0,"2,054",224,"1,830",2,4,14,167,372,385,335,254,171,109,72,46,33,61,27
