Departamento,año,Denuncias,Divorcios,Sexo_hombre,Sexo_mujer, 0  a  4, 5  a  9,10 a 14,15 a 19,20 a 24,25 a 29,30 a 34,35 a 39,40 a 44,45 a 49,50 a 54,55 a 59,60 a 64,65 y más,Ignorado_edad
Guatemala,2008,"5,117","1,052",494,"4,623",3,9,28,353,696,752,629,445,308,191,127,73,46,78,52
Guatemala,2009,"6,692","1,140",634,"6,058",6,9,44,549,"1,190","1,237","1,030",763,494,336,208,124,84,151,70
Guatemala,2010,"5,792","1,561",517,"5,275",6,9,36,478,958,992,873,614,402,267,161,98,68,121,53
Guatemala,2011,"6,122","1,798",531,"5,591",6,8,38,520,"1,052","1,060",948,698,440,299,189,114,80,143,74
Guatemala,2012,"6,911","2,152",568,"6,343",4,16,49,679,"1,374","1,374","1,224",886,563,357,236,141,97,177,93
Guatemala,2013,"6,581","2,261",592,"5,989",5,9,51,622,"1,234","1,240","1,102",780,530,326,226,132,93,154,78
Guatemala,2014,"5,777","2,044",544,"5,233",10,14,51,558,"1,056","1,071",950,701,462,290,187,122,91,150,63
Guatemala,2015,"6,410","2,185",647,"5,763",9,17,55,581,"1,204","1,199","1,036",800,503,309,210,143,100,184,60
Guatemala,2016,"6,053","2,142",639,"5,414",8,15,47,527,"1,109","1,142",980,742,486,299,202,139,96,172,90
Guatemala,2017,"5,451","2,075",659,"4,792",9,15,44,425,"1,018","1,025",841,695,447,301,181,122,90,169,70
Guatemala,2018,"5,398","2,185",673,"4,725",6,14,33,411,"1,012",993,851,677,459,273,192,139,95,184,58
Guatemala,2019,"5,462","3,491",734,"4,728",6,12,32,391,979,"1,018",861,690,488,292,192,130,104,200,67
Guatemala,2020,"3,379","1,361",446,"2,933",4,8,19,227,590,624,556,424,294,191,126,93,65,120,38
Guatemala,2021,"7,476","3,339","1,014","6,462",5,16,38,420,"1,218","1,356","1,208",961,719,442,300,195,165,290,145
Guatemala,2022,"8,268","3,295","1,213","7,055",9,14,47,422,"1,266","1,469","1,334","1,058",795,530,356,240,176,355,198
El Progreso,2008,978,45,94,884,1,2,5,68,133,144,120,85,59,37,24,14,9,15,10
El Progreso,2009,"1,108",41,105,"1,003",1,1,7,91,197,205,171,126,82,56,34,21,14,25,12
El Progreso,2010,"1,101",63,98,"1,003",1,2,7,91,182,189,166,117,76,51,31,19,13,23,10
El Progreso,2011,"1,101",82,96,"1,005",1,1,7,93,189,191,170,125,79,54,34,21,14,26,13
El Progreso,2012,"1,039",89,85,954,1,2,7,102,207,206,184,133,85,54,35,21,15,27,14
El Progreso,2013,"1,142",86,103,"1,039",1,2,9,108,214,215,191,135,92,56,39,23,16,27,14
El Progreso,2014,"1,081",114,102,979,2,3,10,104,198,200,178,131,86,54,35,23,17,28,12
El Progreso,2015,883,98,89,794,1,2,8,80,166,165,143,110,69,43,29,20,14,25,8
El Progreso,2016,675,95,71,604,1,2,5,59,124,127,109,83,54,33,22,15,11,19,10
El Progreso,2017,825,108,100,725,1,2,7,64,154,155,127,105,68,46,27,18,14,26,11
El Progreso,2018,"1,030",115,128,902,1,3,6,79,193,189,162,129,88,52,37,27,18,35,11
El Progreso,2019,"1,069",146,144,925,1,2,6,76,192,199,169,135,95,57,38,25,20,39,13
El Progreso,2020,889,68,117,772,1,2,5,60,155,164,146,112,77,50,33,24,17,32,10
El Progreso,2021,"1,252",206,170,"1,082",1,3,6,70,204,227,202,161,120,74,50,33,28,49,24
El Progreso,2022,"1,122",179,165,957,1,2,6,57,172,199,181,144,108,72,48,33,24,48,27
Sacatepequez,2008,926,80,89,837,1,2,5,64,126,136,114,81,56,35,23,13,8,14,9
Sacatepequez,2009,"1,368",77,130,"1,238",1,2,9,112,243,253,211,156,101,69,42,25,17,31,14
Sacatepequez,2010,"1,356",61,121,"1,235",1,2,8,112,224,232,204,144,94,62,38,23,16,28,12
Sacatepequez,2011,"1,492",72,129,"1,363",2,2,9,127,256,258,231,170,107,73,46,28,19,35,18
Sacatepequez,2012,"1,651",71,136,"1,515",1,4,12,162,328,328,292,212,134,85,56,34,23,42,22
Sacatepequez,2013,"1,783",122,160,"1,623",1,2,14,169,334,336,299,211,144,88,61,36,25,42,21
Sacatepequez,2014,"1,584",138,149,"1,435",3,4,14,153,290,294,261,192,127,79,51,33,25,41,17
Sacatepequez,2015,"1,613",115,163,"1,450",2,4,14,146,303,302,261,201,127,78,53,36,25,46,15
Sacatepequez,2016,"1,477",133,156,"1,321",2,4,11,129,271,279,239,181,119,73,49,34,24,42,22
Sacatepequez,2017,"1,623",154,196,"1,427",3,4,13,127,303,305,250,207,133,90,54,36,27,50,21
Sacatepequez,2018,"1,776",153,221,"1,555",2,5,11,135,333,327,280,223,151,90,63,46,31,60,19
Sacatepequez,2019,"1,308",168,176,"1,132",1,3,8,94,235,244,206,165,117,70,46,31,25,48,16
Sacatepequez,2020,"1,381",85,182,"1,199",2,3,8,93,241,255,227,173,120,78,51,38,26,49,15
Sacatepequez,2021,"1,686",189,229,"1,457",1,4,9,95,275,306,272,217,162,100,68,44,37,65,33
Sacatepequez,2022,"1,689",174,248,"1,441",2,3,10,86,259,300,273,216,162,108,73,49,36,73,40
Chimaltenango,2008,"1,167",58,113,"1,054",1,2,6,81,159,172,144,102,70,44,29,17,10,18,12
Chimaltenango,2009,"1,688",59,160,"1,528",1,2,11,139,300,312,260,192,125,85,52,31,21,38,18
Chimaltenango,2010,"1,690",38,151,"1,539",2,3,10,139,280,290,255,179,117,78,47,29,20,35,16
Chimaltenango,2011,"1,920",57,167,"1,753",2,3,12,163,330,332,297,219,138,94,59,36,25,45,23
Chimaltenango,2012,"1,785",67,147,"1,638",1,4,13,175,355,355,316,229,145,92,61,37,25,46,24
Chimaltenango,2013,"1,723",82,155,"1,568",1,2,13,163,323,325,288,204,139,85,59,35,24,40,20
Chimaltenango,2014,"1,924",124,181,"1,743",3,5,17,186,352,357,317,233,154,96,62,41,30,50,21
Chimaltenango,2015,"1,824",125,184,"1,640",3,5,16,165,343,341,295,228,143,88,60,41,28,52,17
Chimaltenango,2016,"1,694",106,179,"1,515",2,4,13,148,310,320,274,208,136,84,56,39,27,48,25
Chimaltenango,2017,"1,673",129,202,"1,471",3,5,13,130,313,315,258,213,137,92,56,37,28,52,21
Chimaltenango,2018,"1,647",147,205,"1,442",2,4,10,126,309,303,260,207,140,83,59,42,29,56,18
Chimaltenango,2019,"1,756",172,236,"1,520",2,4,10,126,315,327,277,222,157,94,62,42,34,64,22
Chimaltenango,2020,"1,868",122,246,"1,622",2,4,11,126,326,345,307,235,163,106,69,51,36,66,21
Chimaltenango,2021,"2,136",258,290,"1,846",1,4,11,120,348,387,345,275,205,126,86,56,47,83,42
Chimaltenango,2022,"2,169",210,318,"1,851",2,4,12,111,332,385,350,278,209,139,93,63,46,93,52
Suchitepequez,2008,"1,297",199,125,"1,172",1,2,7,90,176,191,159,113,78,48,32,19,12,20,13
Suchitepequez,2009,"1,663",125,158,"1,505",1,2,11,136,296,307,256,190,123,84,52,31,21,38,17
Suchitepequez,2010,"1,723",140,154,"1,569",2,3,11,142,285,295,260,183,120,79,48,29,20,36,16
Suchitepequez,2011,"1,957",175,170,"1,787",2,3,12,166,336,339,303,223,141,96,60,36,26,46,24
Suchitepequez,2012,"2,262",217,186,"2,076",1,5,16,222,450,450,401,290,184,117,77,46,32,58,30
Suchitepequez,2013,"2,489",242,224,"2,265",2,3,19,235,467,469,417,295,200,123,85,50,35,58,29
Suchitepequez,2014,"2,503",206,236,"2,267",4,6,22,242,458,464,412,304,200,125,81,53,39,65,27
