Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Ignorado
2008,"23,721","5,117",978,926,"1,167","1,417",495,537,616,"1,435","1,297",775,"1,501",836,769,871,"1,518",551,355,694,585,716,556,9
2009,"31,497","6,692","1,108","1,368","1,688","1,654","1,051",838,698,"1,442","1,663","1,126","2,059",903,"1,302","1,095","2,037",759,946,854,644,766,713,91
2010,"32,017","5,792","1,101","1,356","1,690","1,163",953,994,686,"1,661","1,723","1,173","2,207","1,175","1,622","1,059","2,501",914,937,628,777,856,803,246
2011,"33,484","6,122","1,101","1,492","1,920","1,088",857,882,627,"1,628","1,957","1,263","2,272","1,326","1,676","1,031","2,639","1,090",844,682,473,"1,244","1,006",264
2012,"36,107","6,911","1,039","1,651","1,785","1,169","1,082","1,106",581,"1,706","2,262","1,565","2,677","1,782","1,180","1,151","3,120","1,049",744,654,391,"1,132","1,192",178
2013,"36,170","6,581","1,142","1,783","1,723",794,"1,441","1,062",571,"2,057","2,489","1,640","2,338","1,848",741,"1,195","3,343","1,086",814,757,443,840,"1,203",279
2014,"34,330","5,777","1,081","1,584","1,924",569,"1,321",996,634,"1,708","2,503","1,715","2,210","1,385","1,158","1,265","3,253",981,672,703,465,976,"1,353",97
2015,"31,929","6,410",883,"1,613","1,824",451,964,646,519,"1,790","2,250","1,512","2,072","1,024","1,095",874,"3,485","1,295",580,606,399,732,862,43
2016,"31,190","6,053",675,"1,477","1,694",299,"1,040",542,486,"1,898","2,238","1,708","2,035","1,228","1,002",771,"3,492","1,282",584,538,429,594,"1,059",66
2017,"30,384","5,451",825,"1,623","1,673",374,"1,089",550,445,"1,480","2,048","1,502","1,842","1,111",705,651,"4,240","1,087",647,706,455,698,"1,139",43
2018," 29,992 "," 5,398 "," 1,030 "," 1,776 "," 1,647 ", 547 ," 1,224 ", 485 , 394 ," 1,552 "," 2,073 "," 1,392 "," 1,751 "," 1,072 ", 575 , 548 ," 3,873 ", 799 , 795 , 635 , 566 , 534 ," 1,294 ", 32 
2019,"31,898"," 5,462 "," 1,069 "," 1,308 "," 1,756 "," 1,313 "," 1,281 ", 519 , 427 ," 2,017 "," 2,029 "," 1,805 "," 1,746 ", 918 , 607 , 833 ," 4,379 ", 827 , 709 , 775 , 540 , 383 ," 1,161 ", 34 
2020,"28,259","3,379",889,"1,381","1,868","1,191","1,208",525,454,"1,698","1,815","1,525","1,698",834,363,912,"3,881",794,678,867,576,357,"1,327",39
2021,"36,435","7,476","1,252","1,686","2,136","1,630","1,542",479,546,"1,803","1,928","1,591","1,616",888,612,"1,210","4,402","1,037",902,"1,167",511,387,"1,550",84
2022,"37,194","8,268","1,122","1,689","2,169","1,745","1,126",355,462,"2,106","1,765","1,575","1,703",999,629,"1,331","4,561","1,043",918,903,475,456,"1,245",549
