iter	Logloss
0	0.6642328661
1	0.651097095
2	0.6358449547
3	0.6274310628
4	0.6175604247
5	0.612597163
6	0.6068999898
7	0.6026083052
8	0.5972493247
9	0.5942573612
10	0.5919224305
11	0.5903876148
12	0.5866870881
13	0.5845300991
14	0.5833651235
15	0.5820898223
16	0.5789970452
17	0.5768476813
18	0.5754429203
19	0.5739836786
20	0.5727169713
21	0.5721827771
22	0.5679338871
23	0.5673540817
24	0.5663494769
25	0.5659113053
26	0.5654346928
27	0.5639883137
28	0.5627612304
29	0.5623775115
30	0.561781302
31	0.5615392753
32	0.5613800152
33	0.5586168435
34	0.5571590515
35	0.5565976335
36	0.5562528309
37	0.5559458817
38	0.5553848102
39	0.5551401924
40	0.5546624677
41	0.554078162
42	0.5535942239
43	0.5533803785
44	0.5508775317
45	0.5505675677
46	0.5504120477
47	0.5499091225
48	0.5494129216
49	0.5490650293
50	0.5489035375
51	0.5486877027
52	0.5485070742
53	0.5483543447
54	0.5479947462
55	0.5477401022
56	0.5472289403
57	0.5469809011
58	0.5467207431
59	0.5464746572
60	0.5462460675
61	0.5461283383
62	0.5460686538
63	0.5459530004
64	0.5458683818
65	0.5457148734
66	0.5453150962
67	0.5451142816
68	0.5449616987
69	0.5448186751
70	0.5447305397
71	0.5446091712
72	0.5444145127
73	0.5440557684
74	0.5438948333
75	0.5436667334
76	0.543494658
77	0.543210052
78	0.5430916239
79	0.5428215873
80	0.5424595136
81	0.5422359455
82	0.5421848433
83	0.5419797083
84	0.5407121505
85	0.5406086039
86	0.5405098883
87	0.5403916249
88	0.5401352348
89	0.5399073737
90	0.5396805976
91	0.5396652902
92	0.5391587015
93	0.539015522
94	0.5387509908
95	0.5386545559
96	0.538576478
97	0.5383751667
98	0.538259299
99	0.5381472335
100	0.537125448
101	0.5370234094
102	0.536919428
103	0.5367725417
104	0.5365264664
105	0.5364136882
106	0.5358786604
107	0.5357885912
108	0.5357289856
109	0.5355602373
110	0.5352872404
111	0.5352068812
112	0.53493284
113	0.5347445118
114	0.5345326512
115	0.5343734578
116	0.5342254189
117	0.5341236538
118	0.5339012233
119	0.5336146964
120	0.5334786384
121	0.5333131739
122	0.5331343964
123	0.5330595834
124	0.5328567454
125	0.5326774494
126	0.5324972387
127	0.5323436446
128	0.5322270441
129	0.5320658399
130	0.5318420733
131	0.5317214345
132	0.5316562813
133	0.5315187154
134	0.5313740807
135	0.5312075026
136	0.5310575346
137	0.5308931977
138	0.5291881931
139	0.5290774462
140	0.5289278973
141	0.5287936847
142	0.5287073452
143	0.5285615999
144	0.5284328276
145	0.5282811156
146	0.5282535939
147	0.528104758
148	0.5279532073
149	0.5278467088
150	0.5277227679
151	0.5276130443
152	0.5274993741
153	0.5272842802
154	0.5271701361
155	0.5266130577
156	0.5265407183
157	0.5263858269
158	0.5262786086
159	0.5261108596
160	0.5259353118
161	0.5257974052
162	0.5257014668
163	0.525592599
164	0.5254749749
165	0.5252866069
166	0.5251010499
167	0.5249918454
168	0.5248114773
169	0.5246400377
170	0.5244870676
171	0.5243270826
172	0.5242272797
173	0.5240656753
174	0.5240475844
175	0.5239363445
176	0.5237630908
177	0.5236394262
178	0.5235268948
179	0.5234043629
180	0.5233069562
181	0.5232045215
182	0.5230610551
183	0.522953422
184	0.5228367004
185	0.5227729555
186	0.5226983476
187	0.5226301443
188	0.5224747455
189	0.5224579072
190	0.5223087521
191	0.5221776402
192	0.5220381288
193	0.5219363077
194	0.5218536533
195	0.5217348565
196	0.5216902081
197	0.521676754
198	0.5215318724
199	0.5214350347
200	0.5212938686
201	0.5211915654
202	0.5210725281
203	0.5209988836
204	0.5209177565
205	0.5208149772
206	0.5206900471
207	0.520554483
208	0.5203542778
209	0.5202734885
210	0.5201953002
211	0.5200347847
212	0.5198904434
213	0.5197887239
214	0.5197741307
215	0.5196791359
216	0.5191716489
217	0.5190715841
218	0.5190609119
219	0.5189698421
220	0.5188801968
221	0.5187723325
222	0.518720938
223	0.5186528469
224	0.518541345
225	0.5183986688
226	0.518324422
227	0.5182461099
228	0.5181624381
229	0.5180907952
230	0.5179684659
231	0.5176136991
232	0.5175256539
233	0.5174456324
234	0.5173499902
235	0.5172660467
236	0.5171675094
237	0.5170973261
238	0.5170200331
239	0.5169638103
240	0.5168910709
241	0.5168639029
242	0.5167629881
243	0.5166270355
244	0.5165332157
245	0.5164834032
246	0.5164750923
247	0.516388753
248	0.516311094
249	0.5162367762
250	0.5161425912
251	0.5160164981
252	0.5159341309
253	0.5158892331
254	0.515801792
255	0.5157068463
256	0.5156485222
257	0.5155544585
258	0.515473709
259	0.5153364214
260	0.5153086327
261	0.5152449401
262	0.5152384101
263	0.5151558412
264	0.5150535198
265	0.5149649924
266	0.5148602113
267	0.5147556907
268	0.5147524422
269	0.5146916187
270	0.5146095436
271	0.5145193359
272	0.5144597545
273	0.5143273801
274	0.5142758643
275	0.5142008583
276	0.5141064067
277	0.5139659239
278	0.5139020372
279	0.5138267033
280	0.5137391777
281	0.5136698837
282	0.5136241815
283	0.513535822
284	0.5135322426
285	0.5134674675
286	0.5133858942
287	0.5132861949
288	0.5131994837
289	0.5131333903
290	0.5131113308
291	0.5130630148
292	0.5129605563
293	0.5128399113
294	0.512770247
295	0.5126932823
296	0.5126006918
297	0.5124978429
298	0.51235404
299	0.5122863127
300	0.5121946053
301	0.5121017912
302	0.5120072736
303	0.511938151
304	0.5118557039
305	0.5118002728
306	0.5117286055
307	0.5116424819
308	0.5115271831
309	0.5114659639
310	0.5113578795
311	0.5112840627
312	0.5111589
313	0.5111316022
314	0.5110102017
315	0.5109492196
316	0.5108982166
317	0.5108963594
318	0.5108026804
319	0.5107003576
320	0.5106461641
321	0.5105547407
322	0.5105219031
323	0.5104527699
324	0.5103440637
325	0.5103118222
326	0.5102294415
327	0.5101580104
328	0.510070845
329	0.5100132583
330	0.5099431465
331	0.5098503545
332	0.5097699782
333	0.509723311
334	0.5096603662
335	0.5096562401
336	0.5096112763
337	0.5095161556
338	0.5094604922
339	0.5093767084
340	0.5093295886
341	0.5092375407
342	0.5091561053
343	0.509071857
344	0.5090489911
345	0.5089873877
346	0.5089627868
347	0.5088928785
348	0.5087779796
349	0.5087215156
350	0.508719053
351	0.5086592819
352	0.5086111065
353	0.5084896733
354	0.5084109446
355	0.5082769799
356	0.5082202719
357	0.508139283
358	0.508037763
359	0.5079852006
360	0.5079354748
361	0.5078955051
362	0.5077313772
363	0.5076792009
364	0.5073165871
365	0.5072402805
366	0.5072375696
367	0.5069401612
368	0.5068813572
369	0.506832908
370	0.5068263173
371	0.5067659625
372	0.5066931057
373	0.5066092487
374	0.5065414512
375	0.5064835557
376	0.5063913676
377	0.5063419105
378	0.506274184
379	0.5062203678
380	0.5061633282
381	0.5060964308
382	0.5060944767
383	0.5060391192
384	0.505978712
385	0.5059289777
386	0.5058714486
387	0.5058157063
388	0.5057274564
389	0.5056688725
