iter	Passed	Remaining
0	28	28401
1	49	24655
2	74	24783
3	98	24574
4	122	24442
5	144	23952
6	165	23475
7	188	23335
8	211	23293
9	236	23369
10	260	23448
11	284	23438
12	310	23589
13	334	23569
14	357	23465
15	381	23474
16	410	23758
17	439	24004
18	465	24037
19	491	24071
20	515	24044
21	540	24038
22	564	23961
23	590	24032
24	616	24057
25	641	24024
26	665	23999
27	690	23963
28	715	23968
29	741	23990
30	767	23990
31	792	23972
32	817	23948
33	845	24022
34	869	23964
35	894	23947
36	921	23993
37	945	23925
38	968	23855
39	991	23790
40	1017	23808
41	1040	23725
42	1062	23657
43	1086	23598
44	1107	23511
45	1129	23432
46	1151	23352
47	1172	23258
48	1197	23232
49	1219	23168
50	1241	23105
51	1266	23095
52	1288	23017
53	1310	22954
54	1337	22988
55	1363	22979
56	1388	22970
57	1411	22924
58	1432	22852
59	1457	22826
60	1480	22783
61	1502	22733
62	1527	22719
63	1550	22670
64	1568	22561
65	1593	22551
66	1616	22503
67	1638	22459
68	1661	22424
69	1686	22410
70	1712	22410
71	1735	22374
72	1758	22333
73	1780	22284
74	1804	22257
75	1828	22227
76	1853	22214
77	1876	22176
78	1897	22124
79	1921	22096
80	1944	22057
81	1970	22064
82	1994	22034
83	2017	21995
84	2038	21947
85	2061	21910
86	2085	21885
87	2106	21832
88	2129	21794
89	2151	21752
90	2175	21727
91	2194	21655
92	2217	21624
93	2239	21588
94	2261	21547
95	2287	21538
96	2308	21494
97	2331	21458
98	2353	21422
99	2375	21379
100	2397	21341
101	2420	21313
102	2442	21267
103	2464	21235
104	2487	21203
105	2509	21162
106	2533	21141
107	2555	21106
108	2577	21071
109	2600	21042
110	2623	21010
111	2645	20975
112	2667	20937
113	2689	20903
114	2712	20873
115	2734	20837
116	2757	20808
117	2779	20773
118	2803	20755
119	2829	20753
120	2857	20758
121	2882	20742
122	2907	20727
123	2934	20728
124	2962	20734
125	2984	20704
126	3010	20691
127	3031	20654
128	3054	20627
129	3078	20602
130	3102	20578
131	3126	20559
132	3151	20541
133	3177	20532
134	3201	20516
135	3227	20502
136	3250	20475
137	3275	20462
138	3300	20446
139	3324	20424
140	3349	20405
141	3373	20381
142	3397	20363
143	3422	20344
144	3447	20327
145	3469	20294
146	3492	20268
147	3516	20244
148	3540	20220
149	3562	20188
150	3584	20154
151	3608	20129
152	3632	20107
153	3657	20094
154	3684	20085
155	3714	20099
156	3741	20088
157	3770	20092
158	3795	20076
159	3823	20074
160	3849	20059
161	3887	20110
162	3916	20109
163	3952	20146
164	3977	20127
165	4003	20116
166	4031	20109
167	4060	20107
168	4104	20184
169	4136	20196
170	4177	20250
171	4202	20229
172	4225	20199
173	4248	20168
174	4272	20141
175	4295	20112
176	4318	20081
177	4340	20044
178	4363	20012
179	4387	19986
180	4410	19957
181	4434	19928
182	4456	19894
183	4485	19890
184	4513	19884
185	4535	19849
186	4559	19821
187	4584	19799
188	4608	19775
189	4631	19746
190	4654	19715
191	4677	19682
192	4702	19660
193	4726	19637
194	4751	19617
195	4777	19598
196	4803	19578
197	4826	19551
198	4854	19538
199	4881	19526
200	4910	19521
201	4935	19496
202	4959	19470
203	4984	19449
204	5007	19419
205	5030	19388
206	5053	19359
207	5076	19329
208	5099	19301
209	5124	19276
210	5147	19247
211	5173	19230
212	5199	19209
213	5226	19197
214	5254	19185
215	5286	19186
216	5314	19176
217	5339	19152
218	5361	19121
